TEST,Sentences,Sentiment
,La formation s'achèvera par un contrôle pour savoir si le propriétaire a intégré les connaissances.,3
,Des sanctions administratives et des ordonnances pénales sont possibles si des nouveaux détenteurs de chiens renoncent à suivre la formation ou à l'achever.,4
,"Le canidé, d'un âge avancé, a été bien malgré lui au coeur de commentaires désobligeants proférés sur le plateau de la chaîne de télévision.",4
,Tout savoir avant d’adopter un chat.,1
,"Le chat, le nouveau « meilleur ami de l'homme ».",1
,Il n'a aucune valeur mais il représente beaucoup pour moi.,3
,Il ne m'adresse plus la parole et je ne lui parle pas non plus.,1
,Vous pourrez assister ce soir à la première de deux émissions qui ont pour objectif de savoir quel est le chanteur ou la chanteuse préféré(e) des Français.,2
,A qui appartient le chien qui aboie nuit et jour ?,2
,Je désire connaître l'heure excate de passage du facteur.,2
,Pouvez-vous m'indiquer la poste s'il vous plait ?,1
,J'ai un colis pour votre voisine mais elle n'est pas là.,2
,Le commerçant travaille dans une grande surface.,0
,Le logo signifie que le commerçant donne des produits gratuitement à ses clients.,2
,Tout le monde n'a pas l'argent pour se payer une machine à laver.,2
,Quand je l'ai vu mon coeur s'est mis à battre très fort.,2
,J'ai ouvert cette école il y a une dizaine d'années pour aider les animaux.,1
,"En janvier dernier, j'ai voulu laisser un message sur le répondeur de mon frère.",2
,Elles étaient très amies mais l'une des deux est partie en Suède.,1
,Les journalistes sont prêts à tout !,0
,Il a su se défendre et mentir lorsqu'on lui posait des questions embarassantes.,2
,"Me voici, Madame, arrivé dans un séjour qui s'est attiré autrefois l'honneur de votre présence, car il me semble qu'il y a longtemps que Votre Altesse n'y est venue.",5
,Je vous supplie très humblement de me permettre de cultiver des fleurs dans le parterre d'en haut : la principale raison qui m'oblige à vous demander cette grâce est d'orner un lieu où vous pourrez venir quelque jour.,5
,J'accepterai cette grâce; mais je doute fort que j'y demeure plus de deux mois et pour des raisons d'intérêt.,5
,"J’avais juré de laisser là les nonnes : car que toujours on voie en mes écrits, même sujet, et semblables personnes, cela pourrait fatiguer les esprits.",5
,"Un mari ayant une aventure amoureuse au fond de son jardin avec la belle servante de la maison, fut découvert par la voisine qui observait tout de sa fenêtre.",4
,"Les mois de mars et avril passent en accéléré : procès, rendez-vous médicaux, concerts, ballets, devoirs et match de baseball s’enchaînent à une vitesse incroyable, et pendant tout ce temps, le ventre de Chelsea ne cesse de s’étirer.",3
,"Je crois que vous avez appuyé sur l’arrêt d’urgence, me dit-il d’un ton calme, d’une voix grave et chaude.",3
,Certains partenaires ne demandent pas votre consentement et s'appuient sur leur intérêt commercial légitime pour traiter vos données.,5
,Un enfant est drôle.,0
,J’aime aussi me promener avec mes amis en rêvant de voyages que nous pourrions faire ensemble.,2
,"Pour ne pas perdre notre équilibre, pour ne pas perdre les bienfaits et les avantages d’apprendre, il faut garder notre curiosité et avancer dans la vie.",4
,"Si un seul homme peut exprimer autant de haine, imaginez combien d’amour nous pouvons exprimer ensemble.",3
,Ils s’étaient imaginé pouvoir surmonter le deuil en se lançant dans les travaux de rénovation.,3
,Tout aurait été plus simple s’ils avaient pu la définir et déterminer à qui elle incombait.,4
,"Le soleil brûlant de juillet la faisait transpirer, la sueur collait sa frange sur son front et son bras la faisait souffrir à force de répéter le même va-et-vient pour le troisième jour consécutif.",3
,"Et lorsqu’ils commencent à ôter le plancher de la salle à manger, ils découvrent du sang coagulé.",3
,Elle n’imaginait pas que les secrets familiaux allaient mettre en péril l’une des personnes les plus importantes de sa vie.,3
,"Mais la douleur physique l’aidait à oublier la douleur dans son coeur, et elle l’accueillait avec gratitude.",4
,"Il dut sentir son regard, car il s’arrêta un instant, leva la tête et lui fit un petit signe de la main, comme à une connaissance qu’on salue en passant.",4
,Comme si le chagrin les remplissait à tel point qu’il n’y avait de place pour aucun autre sentiment.,4
,"De toute évidence, cette maison possédait une âme.",2
,Leur pavillon mitoyen à Paris était pratiquement neuf quand ils l’avaient acheté.,3
,"À l’époque elle avait adoré son aspect brillant et rutilant, sans la moindre éraflure.",4
,"Aujourd’hui, le neuf n’était qu’un rappel de ce qui avait été, et cette vieille maison avec tous ses défauts semblait plus en accord avec son état d’esprit.",4
,"Elle se reconnaissait dans le toit et ses fuites d’eau, dans la chaudière qu’il fallait régulièrement redémarrer à grands coups de pied et dans les fenêtres à courants d’air qui interdisaient de poser une bougie sur leur bord sans qu’elle soit soufflée.",4
,Dans son coeur aussi il y avait des courants d’air et des fuites d’eau.,3
,"Devant la paroi rocheuse escarpée, les petites maisons blanches et les cabanes rouges de pêcheur formaient comme un collier de perles.",4
,"Dans le ciel, les mouettes tournoyaient et s’interpellaient bruyamment, leurs cris se mêlaient au vrombissement des bateaux à moteur qui sillonnaient l’archipel.",5
,On a besoin de faire une pause.,0
,"Oui, c’est une bonne idée, dit-elle et elle descendit de l’échafaudage.",2
,Leurs maillots de bain séchaient à l’arrière de la maison et elle se débarrassa de ses vêtements de travail trempés de sueur pour enfiler son bikini.,3
,L’île était assez grande.,0
,Les vagues frappaient la longue plage.,1
,Elle balança la serviette par terre et partit tout droit dans l’eau salée.,2
,"Derrière elle, elle l'entendit l’appeler.",2
,Elle fit semblant de ne pas l’entendre et continua d’avancer.,2
,Elle avait besoin de passer un instant seule.,1
,Sans avoir à tenir compte de quelqu’un d’autre.,3
,"Mais comme d’habitude quand elle avait un instant libre, elle avait donné la priorité à son écriture aux dépens du rangement.",3
,"En entendant la porte d’entrée s’ouvrir, elle leva les yeux de l’ordinateur et aperçut son mari.",2
,Elle n’était pas là.,0
,"Salut, qu’est-ce que tu fais là ?",0
,"Hannah regarda les sabots détestables, qui par-dessus le marché étaient vert fluo.",3
,Sa soeur lui avait offerts des jouets.,0
,Il vint l’embrasser avant de rejoindre la cuisine.,1
,Elles sont trop confortables.,0
,Bien sûr que tu vas y aller.,0
,"Je m’occuperai des enfants ce week-end-là, j’ai déjà posé mes congés.",2
,Je peux disposer librement de mon temps et de mon propre chef.,3
,Elle écrivait des livres que les gens lisaient pour se divertir.,2
,"Oui, j'aime le chocolat.",0
,Mais j’ai réussi à les mettre au lit tous en même temps cette fois.,2
,"D’habitude, il n’avait jamais peur.",1
,"À chaque respiration elle sentait la fumée entrer dans ses poumons, tel un insidieux poison.",3
,J’ai éteint le feu.,0
,C’était sa grande différence entre lui et moi.,2
,Deux autres hommes se tenaient derrière lui.,1
,Mère est dans le jardin derrière la maison.,1
,Qu’est-ce que vous faites ?,0
,je suis déjà en train de sortir du lit.,1
,Il coinça le téléphone entre l’oreille et l’épaule tout en attrapant son jeans.,2
,C’est bizarre que ça arrive juste maintenant.,1
,J’ai plein de bons souvenirs d’ici.,1
,"On venait avec l’école chaque année, j’ai fait un stage de voile aussi un été.",2
,Ses mains étaient noires de suie.,2
,Ils semblaient sous le choc et je me suis dit qu’ils avaient besoin de rester au calme.,3
,Les pompiers ont parlé d’incendie criminel ?,2
,"J’ai couru chercher l’extincteur, je n’avais que ça en tête : éteindre le feu.",3
,Vous n’avez pas entendu des bruits suspects plus tôt dans la nuit ?,2
,"Ils sont en vacances, il n’y a que nous sur cette partie de l’île.",2
,Le pendentif représentait un très joli ange.,2
,On dirait qu’il y a beaucoup de travaux à faire.,2
,On n’a pas peur de travailler.,1
,"La seule chose qui me vienne à l’esprit, ce sont les cartes d’anniversaire.",2
,"On lui avait tout pris, elle se retrouvait seule au monde.",2
,lls la détestaient à cause de ce que sa mère avait fait.,2
,Elle pouvait supporter tout cela.,2
,"Elle était la princesse de mère et père, et elle savait qu’elle avait été désirée et aimée.",3
,Il s'agit d'un projet pour la paix de notre temps.,2
,Pouvez-vous nous donner un peu plus de détails ?,1
,"Dans sa tête, le bruit de bottes des soldats allemands résonna.",3
,"Ils ne comprenaient pas, personne ne comprenait.",1
,"Il espérait juste qu’en temps voulu, il parviendrait à se débarrasser de lui.",3
,J’investis personnellement une grosse somme d’argent.,1
,"Une petite marque au front, des cicatrices sur le corps et une démarche légèrement claudicante étaient les seules traces visibles de l’accident qu’elle avait subi un an et demi auparavant.",3
,Anna franchit le seuil et se débarrassa de ses chaussures.,3
,Anna alla dans la cuisine où elle se sentait chez elle.,2
,Erica lui montra un gâteau dans un sac plastique transparent.,2
,Ils se laissèrent glisser par terre et partirent en trombe vers le salon.,3
,Je savais bien que j’étais assise depuis trop longtemps.,2
,C’est comme ça tous les jours.,1
,"Oui, c’est pénible, dit son beau-père en plongeant sa main dans le plat à crevettes pour en attraper une bonne poignée.",3
,"Du moment qu’on a une démocratie, on doit écouter le peuple.",2
,Il sortit vivement le téléphone et jeta un oeil sur l’écran avant de répondre.,3
,Ils n’ont tout simplement aucune classe.,2
,Elle se rendit compte qu’elle travaillait dans la pénombre et alluma la lampe posée sur le bureau.,3
,Quelqu’un a essayé de brûler la maison et on ignore qui et pourquoi.,2
,On ne peut pas vivre comme ça.,2
,"L'année dernière, je suis allé au bord de la Loire pour les vacances.",1
,J’ai raccroché et j’ai ri.,1
,Manoeuvrer dans le port n’était pas une mince affaire.,3
,"Les bateaux étaient serrés les uns contre les autres, et s’ils n’avaient pas été équipés de défenses, ni le leur ni ceux des voisins ne seraient restés intacts.",4
,Cette maison est la nôtre.,1
,J’ai posé le courrier sur la table.,1
,Je voudrais bien construire les bâtiments les plus hauts du monde.,2
,J’aimerais bien publier mes romans.,2
,"Quoi qu’il arrive, il faut rester motivé.",1
,"Si je pouvais, je jouerais un rôle dans une pièce de Molière !",2
,J’aimerais tant pouvoir un jour danser à l'Opéra de Paris !,2
,Je voudrais tellement que tout le monde admire mes tableaux !,2
,Elle serait partie en vacances.,2
,"Souvent, je m’arrêtais pour parler avec les villageois.",1
,"Donc, pendant que je pédalais, ils étaient sûrement assis sur le sable.",1
,Ils passaient leurs journées à l'intérieur !,1
,J’ai reçu un appel.,1
,"Tous les mardis, il va à l’entraînement de football.",0
,Il joue au football depuis cinq ans.,0
,"Mardi prochain à 14 heures, son équipe a un match important.",1
,Nous sommes en train de dîner.,1
,Je suis en train de repeindre ma chambre.,1
,Je suis très belle.,0
,Vous marchez vite.,0
,Tu manges beaucoup.,0
,On est tous ensemble.,0
,Nous nageons dans la piscine.,0
,Je suis dans ma chambre.,0
,Elle a des amies.,0
,Nous avons un cours de Français.,0
,Nous sommes en vacances.,0
,Je porte un pantalon.,0
,Tu es souvent absente.,0
,Je ne suis jamais content.,0
,J'ai soif.,0
,Jean a une copine.,0
,Quel âge as-tu ?,0
,J'ai une question.,0
,Nous avons une voiture bleue.,0
,J'ai deux voisins.,0
,Le grand Meaulnes jeta son chapeau par terre et je vis qu’il avait les cheveux complètement ras comme un paysan.,3
,"Cet emballage innovant, allié au développement des lignes de chemin de fer, permit la distribution du camembert dans d’autres régions de France, mais aussi à l’étranger.",3
,"Colette eut des funérailles nationales lors de sa mort en 1954 et est enterrée auprès de sa fille, au cimetière du Père-Lachaise à Paris.",3
,"Étant féru d’art, Yves Saint Laurent a constitué, au fil des années, une importante collection d’objets précieux et de peintures qui ont inspiré certaines de ses créations.",4
,Abandonnez sans état d’âme le traditionnel cahier de vacances que les trois quarts des enfants ne terminent pas : la liste des produits alternatifs qui visent à « faire aimer » autant qu’à « faire réviser » est longue.,4
,"Concentrés toute l’année sur les résultats scolaires de leurs enfants, les parents ne sont pas prêts à laisser les bains de mer ou de soleil délaver les tables de multiplication, les plus-que-parfait de l’indicatif et autres théorèmes de géométrie si chèrement acquis.",5
,Je n’ai pas très faim.,0
,Ils sont incroyables.,0
,Plus personne ne sautait sur le canapé depuis longtemps.,2
,Il mordit dans une tartine.,2
,C’était une soirée comme les autres.,2
,La soirée fut longue.,2
,"Juste avant sa mort, il avait réussi à amorcer une sorte de réconciliation, mais jamais il ne pourrait comprendre les opinions de son père.",3
,Je crois que le peuple suédois a mûri.,3
,J'ai un frère et une soeur.,0
,Ma mère s'appelle Marie.,0
,"Sans honneur que précaire, sans liberté que provisoire, jusqu’à la découverte du crime ; sans situation qu’instable, comme pour le poète la veille fêté dans tous les salons, applaudi dans tous les théâtres de Londres, chassé le lendemain de tous les garnis sans pouvoir trouver un oreiller où reposer sa tête, tournant la meule comme Samson et disant comme lui : “Les deux sexes mourront chacun de son côté”.",5
,J'aime le ski.,0
,Je ne trouve plus mon t-shirt rouge.,0
,Nous habitons à Paris.,0
,"Un jour qu’il était venu nous voir à Paris après dîner en s’excusant d’être en habit, Françoise ayant, après son départ, dit tenir du cocher qu’il avait dîné « chez une princesse »,— « Oui, chez une princesse du demi-monde ! » avait répondu ma tante en haussant les épaules sans lever les yeux de sur son tricot, avec une ironie sereine.",5
,"« Il paraît que c’est une bête bien affable », ajoutait Françoise qui tenait le renseignement de Théodore, « spirituelle comme une personne, toujours de bonne humeur, toujours aimable, toujours quelque chose de gracieux. C’est rare qu’une bête qui n’a que cet âge-là soit déjà si galante.",5
,J'ai trouvé un stage qui me plaît beaucoup.,1
,Je ne pourrai pas venir demain.,1
,Pourrais-tu me passer le sel ?,0
,J'ai vu la tour Eiffel ?,0
,Quel est votre avis ?,1
,"Les uns, les pires et dont elle s’était débarrassé les premiers, étaient ceux qui lui conseillaient de ne pas « s’écouter » et professaient, fût-ce négativement et en ne la manifestant que par certains silences de désapprobation ou par certains sourires de doute, la doctrine subversive qu’une petite promenade au soleil et un bon bifteck saignant (quand elle gardait quatorze heures sur l’estomac deux méchantes gorgées d’eau de Vichy !) lui feraient plus de bien que son lit et ses médecines.",5
,"Aussi, ceux qu’elle avait laissé monter après quelques hésitations et sur les officieuses instances de Françoise et qui, au cours de leur visite, avaient montré combien ils étaient indignes de la faveur qu’on leur faisait en risquant timidement un : « Ne croyez-vous pas que si vous vous secouiez un peu par un beau temps », ou qui, au contraire, quand elle leur avait dit : « Je suis bien bas, bien bas, c’est la fin, mes pauvres amis », lui avaient répondu : « Ah ! quand on n’a pas la santé ! Mais vous pouvez durer encore comme ça », ceux-là, les uns comme les autres, étaient sûrs de ne plus jamais être reçus.",5
,Etes-vous à la maison ?,0
,J'ai cherché à te joindre il y a une heure.,1
,J'accoucherai en juin normalement.,1
,Qu'as-tu mangé ?,0
,Vous êtes partie.,0
,J'ai beaucoup aimé le film sur les abeilles.,1
,J'aime beaucoup ce manteau noir.,0
,Je ne me fus pas trompé dans mon calcul.,3
,"Lorsqu’il eut reçu son premier salaire, Louis courut acheter une guitare pour chanter une sérénade à sa bien-aimée.",4
