English	Français	Français2	English2
to abuse	insulter	abuser	to take advantage
academic	universitaire	académisme	academicism
to accomodate	loger	accomoder	to prepare
actual	réel	actuel	current
actual	effectif	efficace	effective
affluence	richesse	affluence	rush
apology	excuses (pl.)	apologie	praise
to assume	supposer	assumer	to take on
axe	hache	axe	axis
basic	élémentaire	basique	alkaline (basic)
billion	milliard	billion	trillion
to charge	faire payer	charger	to load
to consider	envisager	considérer	to regard
		solide	strong
check	contrôle	chèque	cheque
decade	décennie	décade	ten days
to deceive	tromper	décevoir	to disappoint
delay	retard	délai	time limit
to deserve	mériter	desservir	to serve ; to clear away
demonstration	manifestation	démonstration	proof
digital	numérique	digital	digital (related to fingers)
disagreement	différend	désagrément	annoyance
editor	directeur	éditeur	publisher
eventually	finalement	éventuellement	possibly
expertise	compétence	expertise	expert’s report
extra	supplémentaire	extra	first-rate
global	mondial	global	total
fortunate	chanceux	fortuné	rich
habit	habitude	habit	dress, clothes
hazard	danger	hasard	chance
chance	hasard	chance	luck
grand	grandiose	grand	big, large
large	grand	large	broad
lecture	conférence	lecture	reading
library	bibliothèque	librairie	book shop
location	emplacement	location	renting
mechanic	mécanicien	mécanique	engineering
medicine	médicament	médecin	doctor
notice	avis, préavis	notice	note, instruction
novel	roman	nouvelle	short story
obfuscation	obscurcissement	offusquer	to offend
opportunity	occasion	opportunité	oportuneness
partition	séparation	partition	(musical) score
petrol, gas (Am.)	essence	pétrole	oil, petroleum
photograph	photographie	photographe	photographer
phrase	locution	phrase	sentence
place	endroit	place	square
positive	catégorique	positif	definite, positive
preservative	conservateur	préservatif	condom
to prevent	empêcher	prévenir	to warn
proper	adéquat	propre	clean
proprietary	privé	propriétaire	owner
to recover	se rétablir	recouvrir	to cover
refuse	déchets	refus	refusal
to regard	considérer	regarder	to look at
relative	parent	relatif (à un sujet)	connected (with a subject)
relevant	pertinent	relever	to stand up again
relieve	soulager	relever	to raise
to resume	recommencer	résumer	to sum up
route	itinéraire	route	road
rude	grossier	rude	rough, hard
scheme	plan	schéma	sketch
sensible	raisonnable	sensible	sensitive
socket	douille	socquette	sock
store	grand magasin	store	blind, shade
to supply	fournir	supplier	to implore
to survey	examiner	surveiller	to supervise
translation	traduction	translation (géométrie)	translation
versatile	adaptable	versatile	capricious
