Phrases;Type (Maxime)
La formation s'achevera par un contrôle pour savoir si le proprietaire a integre les connaissances.;B2
Des sanctions administratives et des ordonnances penales sont possibles si des nouveaux detenteurs de chiens renoncent a suivre la formation ou a l'achever.;C1
Le canide, d'un age avance, a ete bien malgre lui au coeur de commentaires desobligeants proferes sur le plateau de la chaîne de television.;C1
Tout savoir avant d’adopter un chat.;A2
Le chat, le nouveau « meilleur ami de l'homme ».;A2
Il n'a aucune valeur mais il represente beaucoup pour moi.;B2
Il ne m'adresse plus la parole et je ne lui parle pas non plus.;A2
Vous pourrez assister ce soir a la premiere de deux emissions qui ont pour objectif de savoir quel est le chanteur ou la chanteuse prefere(e) des Francais.;B1
A qui appartient le chien qui aboie nuit et jour ?;B1
Je desire connaître l'heure excate de passage du facteur.;B1
Pouvez-vous m'indiquer la poste s'il vous plait ?;A2
J'ai un colis pour votre voisine mais elle n'est pas la.;B1
Le commercant travaille dans une grande surface.;A1
Le logo signifie que le commercant donne des produits gratuitement a ses clients.;B1
Tout le monde n'a pas l'argent pour se payer une machine a laver.;B1
Quand je l'ai vu mon coeur s'est mis a battre tres fort.;B1
J'ai ouvert cette ecole il y a une dizaine d'annees pour aider les animaux.;A2
En janvier dernier, j'ai voulu laisser un message sur le repondeur de mon frere.;B1
Elles etaient tres amies mais l'une des deux est partie en Suede.;A2
Les journalistes sont prêts a tout !;A1
Il a su se defendre et mentir lorsqu'on lui posait des questions embarassantes.;B1
Me voici, Madame, arrive dans un sejour qui s'est attire autrefois l'honneur de votre presence, car il me semble qu'il y a longtemps que Votre Altesse n'y est venue.;C2
Je vous supplie tres humblement de me permettre de cultiver des fleurs dans le parterre d'en haut : la principale raison qui m'oblige a vous demander cette grace est d'orner un lieu ou vous pourrez venir quelque jour.;C2
"J'accepterai cette grace; mais je doute fort que j'y demeure plus de deux mois et pour des raisons d'interêt.";C2
J’avais jure de laisser la les nonnes : car que toujours on voie en mes ecrits, même sujet, et semblables personnes, cela pourrait fatiguer les esprits.;C2
Un mari ayant une aventure amoureuse au fond de son jardin avec la belle servante de la maison, fut decouvert par la voisine qui observait tout de sa fenêtre.;C1
Les mois de mars et avril passent en accelere : proces, rendez-vous medicaux, concerts, ballets, devoirs et match de baseball s’enchaînent a une vitesse incroyable, et pendant tout ce temps, le ventre de Chelsea ne cesse de s’etirer.;B2
Je crois que vous avez appuye sur l’arrêt d’urgence, me dit-il d’un ton calme, d’une voix grave et chaude.;B2
Certains partenaires ne demandent pas votre consentement et s'appuient sur leur interêt commercial legitime pour traiter vos donnees.;C2
Un enfant est drôle.;A1
J’aime aussi me promener avec mes amis en rêvant de voyages que nous pourrions faire ensemble.;B1
Pour ne pas perdre notre equilibre, pour ne pas perdre les bienfaits et les avantages d’apprendre, il faut garder notre curiosite et avancer dans la vie.;C1
Si un seul homme peut exprimer autant de haine, imaginez combien d’amour nous pouvons exprimer ensemble.;B2
Ils s’etaient imagine pouvoir surmonter le deuil en se lancant dans les travaux de renovation.;B2
Tout aurait ete plus simple s’ils avaient pu la definir et determiner a qui elle incombait.;C1
Le soleil brûlant de juillet la faisait transpirer, la sueur collait sa frange sur son front et son bras la faisait souffrir a force de repeter le même va-et-vient pour le troisieme jour consecutif.;B2
Et lorsqu’ils commencent a ôter le plancher de la salle a manger, ils decouvrent du sang coagule.;B2
Elle n’imaginait pas que les secrets familiaux allaient mettre en peril l’une des personnes les plus importantes de sa vie.;B2
Mais la douleur physique l’aidait a oublier la douleur dans son coeur, et elle l’accueillait avec gratitude.;C1
Il dut sentir son regard, car il s’arrêta un instant, leva la tête et lui fit un petit signe de la main, comme a une connaissance qu’on salue en passant.;C1
Comme si le chagrin les remplissait a tel point qu’il n’y avait de place pour aucun autre sentiment.;C1
De toute evidence, cette maison possedait une ame.;B1
Leur pavillon mitoyen a Paris etait pratiquement neuf quand ils l’avaient achete.;B2
a l’epoque elle avait adore son aspect brillant et rutilant, sans la moindre eraflure.;C1
